LMCconc,LMC_area,Aragonite_area
0.5,7932,144413
1,15990,144552
1.5,23953,145950
2,33128,146778
3,40518,148060
3.5,47308,146147
4,56009,144583
4.5,64622,145510
5,74688,145817
6,82624,145990
7,100159,143752
8,114384,146897
9,133896,145551
10,149976,144768
15,149784,129209
20,151469,80499
25,153025,57711
30,150370,43702
35,154508,33783
40,151020,26984
45,150317,21610
50,150629,17751
55,149189,13925
60,150207,11641
65,149846,9667
70,150632,7853
75,151261,6286
80,148452,4719
85,149188,3557
90,150976,2467
95,151302,1488
